Time Ch1 Ch2	
-2.528E-4	0.21000	-0.01600
-2.524E-4	0.24000	-0.01600
-2.520E-4	0.24000	-0.03600
-2.516E-4	0.23000	-0.01600
-2.512E-4	0.22000	-0.00400
-2.508E-4	0.24000	-0.02000
-2.504E-4	0.23000	-0.01600
-2.500E-4	0.23000	0.00000
-2.496E-4	0.23000	-0.02000
-2.492E-4	0.21000	-0.03600
-2.488E-4	0.24000	-0.02400
-2.484E-4	0.23000	-0.02000
-2.480E-4	0.23000	-0.02800
-2.476E-4	0.21000	-0.00800
-2.472E-4	0.22000	-0.01200
-2.468E-4	0.22000	-0.02000
-2.464E-4	0.24000	-0.00800
-2.460E-4	0.22000	-0.02400
-2.456E-4	0.24000	-0.03600
-2.452E-4	0.23000	-0.02000
-2.448E-4	0.22000	-0.01600
-2.444E-4	0.21000	-0.01600
-2.440E-4	0.22000	-0.03600
-2.436E-4	0.22000	-0.01600
-2.432E-4	0.24000	-0.02800
-2.428E-4	0.23000	-0.02400
-2.424E-4	0.21000	-0.02000
-2.420E-4	0.22000	-0.02000
-2.416E-4	0.24000	-0.03200
-2.412E-4	0.23000	-0.02800
-2.408E-4	0.21000	-0.02800
-2.404E-4	0.22000	-0.02400
-2.400E-4	0.22000	-0.00800
-2.396E-4	0.22000	-0.01200
-2.392E-4	0.24000	-0.01200
-2.388E-4	0.21000	0.00400
-2.384E-4	0.21000	0.00000
-2.380E-4	0.22000	-0.01600
-2.376E-4	0.24000	-0.03600
-2.372E-4	0.25000	-0.03600
-2.368E-4	0.21000	-0.02400
-2.364E-4	0.22000	-0.02800
-2.360E-4	0.24000	-0.02400
-2.356E-4	0.23000	-0.02400
-2.352E-4	0.24000	-0.02400
-2.348E-4	0.24000	-0.01200
-2.344E-4	0.24000	-0.02000
-2.340E-4	0.26000	-0.01600
-2.336E-4	0.23000	-0.02800
-2.332E-4	0.23000	-0.00800
-2.328E-4	0.23000	-0.01600
-2.324E-4	0.24000	-0.03600
-2.320E-4	0.23000	-0.03600
-2.316E-4	0.23000	-0.03200
-2.312E-4	0.25000	-0.03600
-2.308E-4	0.21000	-0.02400
-2.304E-4	0.24000	-0.02000
-2.300E-4	0.23000	-0.01600
-2.296E-4	0.24000	-0.02000
-2.292E-4	0.21000	-0.00400
-2.288E-4	0.24000	-0.00400
-2.284E-4	0.25000	-0.02000
-2.280E-4	0.22000	-0.01600
-2.276E-4	0.26000	-0.02000
-2.272E-4	0.21000	-0.01200
-2.268E-4	0.23000	-0.00400
-2.264E-4	0.21000	0.00000
-2.260E-4	0.24000	-0.02800
-2.256E-4	0.25000	-0.02800
-2.252E-4	0.23000	-0.01600
-2.248E-4	0.23000	-0.00400
-2.244E-4	0.21000	-0.00400
-2.240E-4	0.22000	-0.00400
-2.236E-4	0.24000	-0.01600
-2.232E-4	0.21000	-0.00800
-2.228E-4	0.24000	-0.02000
-2.224E-4	0.22000	-0.04000
-2.220E-4	0.24000	-0.04800
-2.216E-4	0.23000	-0.03200
-2.212E-4	0.23000	-0.03600
-2.208E-4	0.23000	-0.02400
-2.204E-4	0.21000	-0.01200
-2.200E-4	0.26000	0.00000
-2.196E-4	0.23000	-0.02000
-2.192E-4	0.23000	-0.01200
-2.188E-4	0.23000	0.00000
-2.184E-4	0.21000	-0.02000
-2.180E-4	0.22000	-0.01600
-2.176E-4	0.24000	-0.01600
-2.172E-4	0.24000	-0.02800
-2.168E-4	0.24000	-0.03200
-2.164E-4	0.26000	-0.02800
-2.160E-4	0.21000	-0.03600
-2.156E-4	0.24000	-0.02400
